"powiat","samochodyZielone","gęstość","ludnosc","przystanki","odsetek65","cenyMieszkan","parki","ogółem","rodzaj_powiat"
"Powiat nowotomyski",102.817163682796,74.3,75182,21.414700327206,16.8,256893,15.4292250804714,5753.37,"ziemski"
"Powiat włodawski",213.395899670409,28.5,35802,91.0563655661695,21,145700,9.21736215853863,5234.17,"ziemski"
"Powiat sokólski",123.100720235889,30.2,62063,65.4173984499621,20.9,227694,3.22253194334789,5506.16,"ziemski"
"Powiat skarżyski",109.861479004733,174.7,69087,71.0698105287536,25.1,212224,3.76337082229652,5704.16,"ziemski"
"Powiat zgorzelecki",88.244196605276,102.4,85898,32.9460522945819,20.9,212395,11.4088802998906,5980.91,"ziemski"
"Powiat m. Siemianowice Śląskie",118.637701120641,2504.6,63892,21.2859199899831,21.8,248156,7.51267764352345,5955.67,"grodzki"
"Powiat m. Przemyśl",132.917855005105,1230.3,56802,42.2520333791064,23.3,218785,1.93655152987571,5454.18,"grodzki"
"Powiat szczecinecki",102.308070060566,41.5,73308,44.8791400665685,21.1,221791,8.04823484476455,5799.8,"ziemski"
"Powiat gostyński",101.219231654014,91.2,73899,41.1372278379951,17.3,253042,16.7796587233927,5738.3,"ziemski"
"Powiat opatowski",152.574958072565,53.7,48894,203.501452120915,21.9,165574,2.65881294228331,5106.84,"ziemski"
"Powiat bytowski",96.982337222186,35,76715,74.5616893697452,16.6,227491,9.51574007690804,5961.47,"ziemski"
"Powiat płoński",88.0467370566556,61.2,84387,49.0596892886345,19.2,229772,2.96254162370981,5660.12,"ziemski"
"Powiat nowosolski",89.6888125007565,107.2,82619,39.4582359989833,20.5,194370,10.7723405027899,5810.07,"ziemski"
"Powiat rycki",142.250245093328,84.7,52021,57.4767882201419,21.3,227023,1.92230060936929,5359.49,"ziemski"
"Powiat polkowicki",120.375807398708,78.6,61308,54.315913094539,17.2,197690,4.89332550401253,6861.21,"ziemski"
"Powiat obornicki",125.110191903438,83,58988,46.9587034651115,17,267299,3.0514680952058,5821.9,"ziemski"
"Powiat siemiatycki",179.257673785085,28.2,41114,101.42530524882,22.1,218416,2.43226151675828,5439.21,"ziemski"
"Powiat kozienicki",127.079602941432,62.8,57523,40.1578499035169,21.5,225484,3.9984006397441,7274.27,"ziemski"
"Powiat ostrowski",105.108810847694,56.6,68881,59.9584791161569,20,231454,5.22640495927759,5729.1,"ziemski"
"Powiat gryfiński",93.0808204519963,41.5,77567,60.9795402684131,19.3,236286,14.6969716503152,5878.75,"ziemski"
"Powiat m. Suwałki",104.633345494345,1046,68525,38.9638817949653,17.2,297811,6.56694636993798,5547.59,"grodzki"
"Powiat opoczyński",98.1883556907758,69.5,72310,92.3800304245609,19.5,244617,4.97856451389849,5462.96,"ziemski"
"Powiat słubicki",154.030240400305,46,45965,40.6831284673121,16.9,241833,8.70227346894376,5920.34,"ziemski"
"Powiat bielski",137.827217454204,36.9,51151,72.7258509120056,22.8,278157,6.45148677445211,6839.68,"ziemski"
"Powiat czarnkowsko-trzcianecki",83.3134967864794,46.5,84020,51.4163294453702,18.4,223476,5.23684836943585,5808.58,"ziemski"
"Powiat chełmski",93.8701955404933,39.4,74358,104.628957207025,18.7,144000,4.70695822910783,5126.89,"ziemski"
"Powiat legnicki",126.290158453264,74,55032,61.6005233318796,18.8,233641,9.449047826719,6116.35,"ziemski"
"Powiat m. Grudziądz",77.4734488541084,1548.6,89450,37.7864728898826,21.9,209579,9.39072107322527,5299.09,"grodzki"
"Powiat tomaszowski",88.7600528455806,52.4,77963,56.5652937932096,21,229920,5.90023472672935,5100.78,"ziemski"
"Powiat łęczyński",123.556127740228,87.8,55926,60.4370060437006,16.3,305827,5.90065443621929,8543.5,"ziemski"
"Powiat grajewski",151.596458277435,46.2,44724,84.965566586173,18.5,202596,3.13031034791164,6144.83,"ziemski"
"Powiat słupecki",117.628661778504,68.7,57554,77.318692010981,18.7,220863,9.90374257219307,5450.67,"ziemski"
"Powiat biłgorajski",69.7542630467261,57.7,97055,58.5235175931173,19.8,254731,2.06068723919427,5109.51,"ziemski"
"Powiat działdowski",107.563350937545,64.9,61917,49.582505612352,17.9,195169,7.91382011402361,5273.63,"ziemski"
"Powiat średzki",112.8050864839,83.1,58508,63.9228823408765,16.3,327550,10.0840910644698,6315.5,"ziemski"
"Powiat łowicki",88.3306972629547,75.5,74606,44.9025547543093,20.9,268747,4.28919926011313,5395.6,"ziemski"
"Powiat łańcucki",81.433627880498,178.8,80802,45.0483898913393,17.5,248132,4.45533526397861,5344.4,"ziemski"
"Powiat ropczycko-sędziszowski",88.2996246590878,135.1,74066,33.0786055680069,16.3,253757,0.945103016228769,5343.8,"ziemski"
"Powiat kluczborski",105.972712836634,72.4,61714,66.4354927569109,20,186740,6.15743591405516,5681.23,"ziemski"
"Powiat lipnowski",103.408351969041,62,63051,71.2121933038334,17.1,172971,3.96504417059206,4910.26,"ziemski"
"Powiat ostrzeszowski",119.147845821589,70.7,54638,46.1217467696475,17.7,263071,4.94161572531937,5479.65,"ziemski"
"Powiat wrzesiński",83.14572247237,111.1,78176,47.2011870650839,17.4,263239,9.84957020057307,5758.5,"ziemski"
"Powiat przeworski",85.4206639156832,109,76094,35.2195968144663,18,177875,3.41682655662733,5110.08,"ziemski"
"Powiat lęborski",100.312989045383,90.3,63900,52.2691705790297,18.3,248271,12.8325508607199,5918.89,"ziemski"
"Powiat kępiński",114.14099980382,92.2,56071,44.0512921117868,17.1,257819,8.73892029747998,4687.66,"ziemski"
"Powiat bieruńsko-lędziński",106.600859521891,376.7,59568,42.6403438087564,16.1,214574,16.116035455278,5620.67,"ziemski"
"Powiat poddębicki",159.763761641554,45,39621,95.1515610408622,21.1,254146,6.05739380631483,7377.24,"ziemski"
"Powiat hajnowski",160.549876987851,24.3,39427,124.78758211378,26.5,191304,2.02906637583382,6773.76,"ziemski"
"Powiat szczycieński",94.3777202770008,34.6,66859,41.8791785698261,17.9,239091,3.88878086719813,5503.25,"ziemski"
"Powiat rawski",134.439297640849,71.8,46415,53.8618980932888,20,281661,6.89432295594097,5550.93,"ziemski"
"Powiat mrągowski",130.168613275945,45,47861,41.3698000459664,18.3,328921,8.77541213096258,5298.87,"ziemski"
"Powiat głubczycki",144.665041216765,64,43065,42.2616974341112,21.8,133076,9.98490653663067,5978.21,"ziemski"
"Powiat pułtuski",123.02945190577,61.1,50557,50.0425262574915,18.3,211661,1.58237237177839,5503.6,"ziemski"
"Powiat konecki",83.2908608063521,65.4,74558,120.57726870356,23.2,230317,7.10855977896403,5493.64,"ziemski"
"Powiat gryficki",109.021962395323,55.8,56961,34.9361844068749,19.5,512673,25.9826899106406,5364.42,"ziemski"
"Powiat m. Jelenia Góra",81.6687336728501,693.4,75794,31.9286487057023,26.3,280995,12.6659102303612,6282.14,"grodzki"
"Powiat żagański",83.0756822153515,65.7,74390,39.9247210646592,20.2,147584,12.098400322624,5468.2,"ziemski"
"Powiat białobrzeski",189.182559636966,51,32614,45.6859017599804,17.8,238713,1.22646716134176,5563.78,"ziemski"
"Powiat golubsko-dobrzyński",140.76744666682,71.1,43547,57.8685098858704,17.7,186188,7.80765609571268,6015.41,"ziemski"
"Powiat kamiennogórski",149.561123915069,103.1,40786,36.5321433825332,21.5,137175,9.31692247339774,5550.65,"ziemski"
"Powiat drawski",113.046701260193,30.6,53960,46.8865826538176,20,160650,20.3854707190511,5323.36,"ziemski"
"Powiat prudnicki",117.31843575419,90.9,51910,52.9763051435176,20.3,128985,12.7143132344442,5463.74,"ziemski"
"Powiat kolbuszowski",98.5518578246917,79.4,61389,36.162830474515,16.4,246370,0.488686898304256,5082.42,"ziemski"
"Powiat mogileński",137.732880304654,65,43853,64.3057487515107,19.2,197631,1.36820742024491,5482.81,"ziemski"
"Powiat zambrowski",143.200962695548,56.7,41550,56.7990373044525,18.5,254777,4.33212996389892,5601.17,"ziemski"
"Powiat wolsztyński",104.682515905046,83.5,56743,29.0784766402904,16.7,275036,16.0372204500996,5635.22,"ziemski"
"Powiat chełmiński",119.44635002623,94,49562,50.6436382712562,17.9,168729,3.63181469674347,5339.74,"ziemski"
"Powiat m. Wałbrzych od 2013",57.5316374917777,1202.8,101857,29.453056736405,25.1,177378,7.75597160725331,6731.24,"grodzki"
"Powiat kościański",75.060720376208,107.1,77404,26.4844194098496,18,236378,9.68942173531084,5931.56,"ziemski"
"Powiat przemyski",80.680178729007,58.9,71393,61.4906223299203,16.9,163538,0.420209264213578,5052.75,"ziemski"
"Powiat strzelecki",79.8236065756789,96.3,71658,41.5864244048117,18.3,195718,7.2566915068799,6081.35,"ziemski"
"Powiat leszczyński",94.9085350489661,73.9,59531,37.1235154793301,14.6,287914,12.5984781038451,6002.93,"ziemski"
"Powiat opolski",99.5317201716433,69.3,56163,66.5918843366629,21,207924,4.45132916688923,5132.54,"ziemski"
"Powiat sokołowski",110.237464933423,44.7,50618,66.9722233197677,21.5,239701,4.93895452210676,5459.15,"ziemski"
"Powiat miechowski",113.621856249202,69.5,46998,121.068981658794,22.3,292875,7.65990042129452,5415.22,"ziemski"
"Powiat wągrowiecki",76.9130491461348,66.4,69039,83.7207954924028,17,237207,5.64898101073306,5319.73,"ziemski"
"Powiat śremski",86.7217540701955,106.5,61115,44.179006790477,17.1,273021,13.0900760860673,5376.46,"ziemski"
"Powiat pajęczański",108.022175118213,61,49064,57.272134355128,20.3,285046,1.83433882276211,5467.17,"ziemski"
"Powiat kętrzyński",91.5351605758583,47.6,57792,45.3349944629014,20.8,149288,11.4202657807309,5244.28,"ziemski"
"Powiat giżycki",97.1934241706161,48.2,54016,43.8758886255924,19.7,300119,3.51747630331754,5498.08,"ziemski"
"Powiat m. Chełm",89.9314725631333,1642.1,57933,32.1060535446119,23.6,239708,5.52362211520204,5619.61,"grodzki"
"Powiat rawicki",88.334720641446,106.4,58867,48.4142218900233,18,242385,8.66359760137258,5294.49,"ziemski"
"Powiat białogardzki",115.029818409238,53,44771,52.0426168725291,19.5,174494,16.7519153023162,5746.07,"ziemski"
"Powiat złotowski",75.7519714746482,40.7,67589,48.676559795233,17.3,210399,7.2497003950347,4964.93,"ziemski"
"Powiat wąbrzeski",154.780803516913,65.4,32756,109.292953962633,18.6,152626,3.05287580901209,5653.97,"ziemski"
"Powiat m. Krosno",114.164523261586,991.3,44322,60.0153422679482,23.4,275870,2.70745904968187,5420.94,"grodzki"
"Powiat proszowicki",119.712311914451,101.9,42268,62.6951831172518,19.7,233239,1.18292798334437,5577.77,"ziemski"
"Powiat krasnostawski",83.676406600395,57.9,59754,103.926096997691,23.8,229117,4.68587876962212,5376.97,"ziemski"
"Powiat grudziądzki",127.674786783106,53.7,39162,148.358102241969,16.1,174755,5.10699147132424,5523.49,"ziemski"
"Powiat grodziski",96.4630225080386,80.2,51626,24.6000077480339,15.4,214960,9.10393987525665,5493.6,"ziemski"
"Powiat wieruszowski",118.077098814419,72,41583,49.7799581559772,18.4,304286,7.93593535819926,5075.66,"ziemski"
"Powiat chodzieski",107.749142404785,66.4,45476,65.5290702788284,18.7,217041,1.75916967191486,5542.99,"ziemski"
"Powiat żuromiński",134.329190123182,44.5,35882,65.4924474666964,19.2,200948,4.7377515188674,5390.6,"ziemski"
"Powiat łęczycki",102.336070805498,60.8,47002,50.2106293349219,21.6,192790,4.68065188715374,6026.04,"ziemski"
"Powiat m. Piekary Śląskie",91.2979266164144,1308,52137,20.7146556188503,21.3,203508,4.79505917103017,6550.47,"grodzki"
"Powiat kamieński",105.964138675786,44.1,44449,40.9458030551868,22.1,455803,7.87419289522824,5326.89,"ziemski"
"Powiat nowodworski",138.991571787668,50.2,33815,71.2701463847405,18.6,265521,15.6735176696732,5749.44,"ziemski"
"Powiat karkonoski",77.0289760062934,97.3,61016,66.2121410777501,21.7,434681,12.6196407499672,5627.61,"ziemski"
"Powiat m. Skierniewice",101.624231782265,1316.8,45560,40.6057945566286,22.1,267731,3.29236172080773,5797.49,"grodzki"
"Powiat włoszczowski",106.719641495923,47.8,43291,156.845533713705,20.9,217199,3.23392853017948,5982.4,"ziemski"
"Powiat moniecki",122.442489133892,27.3,37732,94.3496236616135,19.4,176947,6.89070285169087,5531.47,"ziemski"
"Powiat wołowski",99.9387683694892,67.8,45728,50.5160951714486,20.1,224692,8.96606018194542,7909.26,"ziemski"
"Powiat aleksandrowski",85.0454071758225,113.2,53736,42.9879410451094,20.3,236601,6.51332440077416,5256.91,"ziemski"
"Powiat świebodziński",83.8431488169824,57.9,54268,31.3260116459055,18.9,243513,9.21353283703103,6154.27,"ziemski"
"Powiat lwówecki",103.807030145747,60.8,43157,48.1961211390968,21.2,126995,5.56109090066501,5580.03,"ziemski"
"Powiat augustowski",81.5776535499026,33.1,54917,48.2546388185808,19.4,341764,8.01209097365115,6050.82,"ziemski"
"Powiat strzyżowski",74.4362670968176,118.2,59514,61.1620795107034,17.8,192087,1.1761938367443,4831.84,"ziemski"
"Powiat lidzbarski",114.94849373362,41.7,38539,92.8929136718649,19.7,185960,17.6444640494045,5155.53,"ziemski"
"Powiat wałecki",86.9254584424863,35.6,50388,54.7749464158133,19.9,207312,20.8382948321029,5886.05,"ziemski"
"Powiat lubański",83.6449138495933,121.1,51886,48.7607447095556,21.7,314569,4.81825540608257,5516.56,"ziemski"
"Powiat namysłowski",101.055628039378,56.4,42155,40.0901435179694,19.4,207321,9.48879136519986,5829.33,"ziemski"
"Powiat świdwiński",96.6105973334557,39.9,43577,39.0114050990201,20.8,143912,9.63811184799321,5239.03,"ziemski"
"Powiat złotoryjski",101.395098829681,71.1,40929,57.9051528256249,20.6,177418,6.84111510176159,6235.18,"ziemski"
"Powiat niżański",64.7860499242862,81.5,64057,49.4871754843343,17.6,197423,1.56110963672979,5022.68,"ziemski"
"Powiat człuchowski",77.1126629075021,34,53558,59.0014563650622,18.4,171893,18.8580604204787,5613.05,"ziemski"
"Powiat przysuski",104.788501447567,48.7,39031,53.5471804463119,20.3,187882,10.7606774102636,5564.37,"ziemski"
"Powiat lubaczowski",77.194571843799,40.5,52983,46.4299869769549,18.9,151828,2.26487741350999,5116.12,"ziemski"
"Powiat piski",76.8981860403144,29.6,52537,34.0712259931096,18,188298,5.32957725031882,5580.91,"ziemski"
"Powiat strzeliński",95.7370802572041,67.5,41990,104.310550130984,19.9,239562,18.5758513931889,6320.71,"ziemski"
"Powiat m. Świętochłowice",86.9090512064636,3443.2,45795,17.9058849219347,20.6,267859,6.76929795829239,5653.41,"grodzki"
"Powiat pińczowski",105.914457863878,60.4,37011,172.381183972333,23.1,191338,1.89132960471211,5811.36,"ziemski"
"Powiat leżajski",58.3451466089681,114.8,67015,38.3496232186824,18,169835,2.98440647616205,5374.02,"ziemski"
"Powiat szydłowiecki",102.405334603477,83.7,37791,73.5624884231695,18.6,225098,6.61533169273107,5271.91,"ziemski"
"Powiat hrubieszowski",67.1944994270236,45.3,57594,65.9790950446227,22.4,169783,3.81984234468868,5487.37,"ziemski"
"Powiat kolneński",107.458032905543,38.2,35921,40.6447481974333,17.1,219709,1.39194343141895,5471.56,"ziemski"
"Powiat janowski",89.1451329072891,49.3,43188,47.2353431508752,20.2,255190,2.31545799759192,5574.12,"ziemski"
"Powiat tarnobrzeski",74.6588693957115,98.5,51300,43.2748538011696,19,264166,4.67836257309941,5746.03,"ziemski"
"Powiat m. Tarnobrzeg",86.2849895823897,517,44156,38.4998641181266,22.9,266422,3.84998641181266,5478.64,"grodzki"
"Powiat nidzicki",123.589643253114,31.9,30666,47.9358246918411,18.3,205686,31.9572164612274,5130.03,"ziemski"
"Powiat tucholski",79.6026237024772,43.8,47109,63.045277972362,17.9,193782,5.30684158016515,5164.79,"ziemski"
"Powiat strzelecko-drezdenecki",79.5710820816136,37.7,47002,41.487596272499,19.7,218568,7.44649163865367,5727.06,"ziemski"
"Powiat radziejowski",97.713043250465,62.9,38173,55.0127053152752,20.1,200724,7.07306211196395,5248.74,"ziemski"
"Powiat pyrzycki",100.040777490825,50.7,36785,44.3115400299035,20.4,161650,16.3109963300258,5694.42,"ziemski"
"Powiat parczewski",111.629048086359,34.2,32608,77.2816486751717,20.6,217601,2.45338567222767,5399.11,"ziemski"
"Powiat międzychodzki",101.484525706617,48.6,35769,53.1186222706813,18.9,203723,9.50543766949034,5620.61,"ziemski"
"Powiat łosicki",120.244635638022,37.5,28941,96.4030268477247,20.8,163356,6.91061124356449,5362.58,"ziemski"
"Powiat choszczeński",72.2923825248784,33.8,44818,27.6674550403856,20.3,168183,24.3205854790486,5575.63,"ziemski"
"Powiat milicki",89.5997320381846,50.1,35826,36.2864958410093,19.7,261442,5.02428403952437,5313.76,"ziemski"
"Powiat wschowski",82.5298469592158,60,37441,28.3112096364948,18.7,190335,18.4289949520579,5453.09,"ziemski"
"Powiat zwoleński",87.4475170117272,60.3,34535,55.3062110901984,18.9,192275,1.15824525843347,5638.92,"ziemski"
"Powiat sulęciński",87.9452784933819,28.7,33771,33.460661514317,18.1,193699,14.509490391164,5335.4,"ziemski"
"Powiat sępoleński",75.2205619868428,49.6,39218,59.9214646335866,18.2,178988,4.07975929420164,5229.53,"ziemski"
"Powiat lipski",91.0832626652847,43,31839,147.931781777066,22.3,258018,2.8267219447847,5595.82,"ziemski"
"Powiat łobeski",84.1182394407914,31.7,33762,65.1620164682187,20.6,126152,26.6571885551804,5630.58,"ziemski"
"Powiat kazimierski",87.5930676343615,75.7,31966,177.063129575174,22.4,175394,2.50265907526747,5097.28,"ziemski"
"Powiat olecki",85.6557631431941,36.9,32222,63.6211284215753,18.3,190493,9.93110297312395,5397.85,"ziemski"
"Powiat górowski",83.0838780621907,44.3,32738,69.9492943979473,19.8,132894,12.523672796139,5423.11,"ziemski"
"Powiat sejneński",133.496436549303,22,18802,54.249547920434,20.6,187783,3.19114987767259,6308.4,"ziemski"
"Powiat suwalski",69.8717580079361,26.6,34778,92.8748059117833,17.3,147800,0.862614296394272,5323.6,"ziemski"
"Powiat węgorzewski",99.2308422751875,30.4,21062,60.7729560345646,21.2,244061,4.27309847118033,5338.94,"ziemski"
"Powiat brzeziński",67.7775573629571,84.4,30246,52.8995569662104,20.1,163658,2.31435561727171,5262.32,"ziemski"
"Powiat gołdapski",72.3744383027797,32.6,25147,79.9300115321907,17.7,190020,3.57895574024735,5136.51,"ziemski"
