powiat,samochodyZielone,gęstość,ludnosc,przystanki,odsetek65,cenyMieszkan,parki,ogółem,rodzaj powiat
Powiat m. Koszalin,2553,1060,104239,329,23.9,400788,121,"6,054.77",grodzki
Powiat ostrowski,2487,137,158914,867,18.7,234299,91,"5,499.39",ziemski
Powiat białostocki,2485,52.5,156370,1483,17.3,268686,41,"5,597.60",ziemski
Powiat lubiński,2439,145.3,103426,359,21.8,276118,86,"11,361.51",ziemski
Powiat miński,2428,136.7,159034,1036,17.1,360159,53,"5,785.24",ziemski
Powiat zgierski,2421,194.7,166537,829,21,254781,29,"6,024.38",ziemski
Powiat m. Sosnowiec,2380,2075.2,189178,153,25.2,239819,47,"6,126.60",grodzki
Powiat m. Siedlce,2312,2373.6,75623,256,20.4,329363,31,"6,234.01",grodzki
Powiat m. Nowy Sącz,2308,1399.1,80587,734,19.7,299618,13,"5,478.44",grodzki
Powiat rzeszowski,2278,152.7,174805,1275,15.7,307011,29,"5,684.10",ziemski
Powiat żyrardowski,2265,141.6,75414,520,19.9,303792,43,"6,403.00",ziemski
Powiat wodzisławski,2160,527,151133,328,19,182980,59,"5,478.76",ziemski
Powiat m. Gliwice,2155,1277.4,171023,420,22.3,317474,242,"7,469.70",grodzki
Powiat toruński,2128,92.3,113565,678,14.1,230607,43,"5,441.72",ziemski
Powiat ostrowiecki,2122,164.3,101311,945,24.6,194525,34,"5,388.69",ziemski
Powiat pabianicki,2104,242.4,119316,405,21.8,264971,19,"5,650.74",ziemski
Powiat cieszyński,2038,240.4,175579,478,19.5,321897,132,"5,838.18",ziemski
Powiat bielski,1975,362.1,165836,613,17.9,304464,51,"5,875.70",ziemski
Powiat wielicki,1965,346,142044,609,14.9,399342,108,"6,201.22",ziemski
Powiat wadowicki,1965,244.4,157855,732,17.2,305864,65,"5,385.08",ziemski
Powiat żywiecki,1952,143.7,149439,655,18,279996,45,"6,015.37",ziemski
Powiat częstochowski,1934,86.7,132009,1074,19.9,201181,29,"5,774.96",ziemski
Powiat kraśnicki,1915,89.6,90085,689,22,219031,114,"5,139.37",ziemski
Powiat m. Słupsk,1895,2001.5,86365,245,23.8,285427,21,"5,904.49",grodzki
Powiat radomski,1868,98.8,151202,694,16.5,196566,33,"5,412.43",ziemski
Powiat pilski,1859,103.7,131265,516,19.4,266369,59,"6,004.37",ziemski
Powiat oświęcimski,1846,367.6,149304,641,20.1,276205,74,"5,899.89",ziemski
Powiat m. Zabrze,1828,1932.7,155430,367,20.3,220003,298,"6,511.57",grodzki
Powiat myślenicki,1803,192.5,129538,587,15.2,410279,32,"5,603.51",ziemski
Powiat zawierciański,1801,112.4,112774,626,23.1,184254,162,"6,438.58",ziemski
Powiat sieradzki,1799,75.4,112350,635,20.1,251384,87,"5,626.08",ziemski
Powiat tarnogórski,1789,216.1,139221,453,19.7,275566,89,"6,218.12",ziemski
Powiat m. Bytom,1761,2152.8,149576,297,20.6,178322,138,"6,303.49",grodzki
Powiat m. Rybnik,1754,888.5,131744,368,19.5,254708,47,"6,135.40",grodzki
Powiat bydgoski,1700,90,125436,702,14.9,363844,61,"5,793.56",ziemski
Powiat będziński,1679,399.2,145429,834,22.6,245609,201,"5,671.96",ziemski
Powiat ostrołęcki,1640,41.8,87503,837,15,320975,10,"5,661.05",ziemski
Powiat sochaczewski,1637,113.4,83333,494,18.9,266584,9,"6,994.09",ziemski
Powiat mikołowski,1573,427.8,99602,430,17.5,279952,44,"5,957.61",ziemski
Powiat koniński,1564,81.7,128883,1088,16.1,206546,52,"4,988.03",ziemski
Powiat olsztyński,1558,45.6,129555,1023,16.1,301877,68,"5,865.11",ziemski
Powiat rypiński,1555,70.6,41404,303,18.9,188346,23,"5,140.39",ziemski
Powiat oleśnicki,1534,101.5,106481,479,18.6,276398,109,"5,762.83",ziemski
