powiat,samochodyZielone,gęstość,ludnosc,przystanki,odsetek65,cenyMieszkan,parki,ogółem,rodzaj powiat
Powiat chodzieski,490,66.4,45476,298,18.7,217041,8,"5,542.99",ziemski
Powiat żuromiński,482,44.5,35882,235,19.2,200948,17,"5,390.60",ziemski
Powiat łęczycki,481,60.8,47002,236,21.6,192790,22,"6,026.04",ziemski
Powiat m. Piekary Śląskie,476,1308,52137,108,21.3,203508,25,"6,550.47",grodzki
Powiat kamieński,471,44.1,44449,182,22.1,455803,35,"5,326.89",ziemski
Powiat nowodworski,470,50.2,33815,241,18.6,265521,53,"5,749.44",ziemski
Powiat karkonoski,470,97.3,61016,404,21.7,434681,77,"5,627.61",ziemski
Powiat m. Skierniewice,463,1316.8,45560,185,22.1,267731,15,"5,797.49",grodzki
Powiat włoszczowski,462,47.8,43291,679,20.9,217199,14,"5,982.40",ziemski
Powiat moniecki,462,27.3,37732,356,19.4,176947,26,"5,531.47",ziemski
Powiat wołowski,457,67.8,45728,231,20.1,224692,41,"7,909.26",ziemski
Powiat aleksandrowski,457,113.2,53736,231,20.3,236601,35,"5,256.91",ziemski
Powiat świebodziński,455,57.9,54268,170,18.9,243513,50,"6,154.27",ziemski
Powiat lwówecki,448,60.8,43157,208,21.2,126995,24,"5,580.03",ziemski
Powiat augustowski,448,33.1,54917,265,19.4,341764,44,"6,050.82",ziemski
Powiat strzyżowski,443,118.2,59514,364,17.8,192087,7,"4,831.84",ziemski
Powiat lidzbarski,443,41.7,38539,358,19.7,185960,68,"5,155.53",ziemski
Powiat wałecki,438,35.6,50388,276,19.9,207312,105,"5,886.05",ziemski
Powiat lubański,434,121.1,51886,253,21.7,314569,25,"5,516.56",ziemski
Powiat namysłowski,426,56.4,42155,169,19.4,207321,40,"5,829.33",ziemski
Powiat świdwiński,421,39.9,43577,170,20.8,143912,42,"5,239.03",ziemski
Powiat złotoryjski,415,71.1,40929,237,20.6,177418,28,"6,235.18",ziemski
Powiat niżański,415,81.5,64057,317,17.6,197423,10,"5,022.68",ziemski
Powiat człuchowski,413,34,53558,316,18.4,171893,101,"5,613.05",ziemski
Powiat przysuski,409,48.7,39031,209,20.3,187882,42,"5,564.37",ziemski
Powiat lubaczowski,409,40.5,52983,246,18.9,151828,12,"5,116.12",ziemski
Powiat piski,404,29.6,52537,179,18,188298,28,"5,580.91",ziemski
Powiat strzeliński,402,67.5,41990,438,19.9,239562,78,"6,320.71",ziemski
Powiat m. Świętochłowice,398,3443.2,45795,82,20.6,267859,31,"5,653.41",grodzki
Powiat pińczowski,392,60.4,37011,638,23.1,191338,7,"5,811.36",ziemski
Powiat leżajski,391,114.8,67015,257,18,169835,20,"5,374.02",ziemski
Powiat szydłowiecki,387,83.7,37791,278,18.6,225098,25,"5,271.91",ziemski
Powiat hrubieszowski,387,45.3,57594,380,22.4,169783,22,"5,487.37",ziemski
Powiat kolneński,386,38.2,35921,146,17.1,219709,5,"5,471.56",ziemski
Powiat janowski,385,49.3,43188,204,20.2,255190,10,"5,574.12",ziemski
Powiat tarnobrzeski,383,98.5,51300,222,19,264166,24,"5,746.03",ziemski
Powiat m. Tarnobrzeg,381,517,44156,170,22.9,266422,17,"5,478.64",grodzki
Powiat nidzicki,379,31.9,30666,147,18.3,205686,98,"5,130.03",ziemski
Powiat tucholski,375,43.8,47109,297,17.9,193782,25,"5,164.79",ziemski
Powiat strzelecko-drezdenecki,374,37.7,47002,195,19.7,218568,35,"5,727.06",ziemski
Powiat radziejowski,373,62.9,38173,210,20.1,200724,27,"5,248.74",ziemski
Powiat pyrzycki,368,50.7,36785,163,20.4,161650,60,"5,694.42",ziemski
Powiat parczewski,364,34.2,32608,252,20.6,217601,8,"5,399.11",ziemski
Powiat skierniewicki,363,50.2,37799,152,18.5,0,4,"5,408.39",ziemski
Powiat międzychodzki,363,48.6,35769,190,18.9,203723,34,"5,620.61",ziemski
Powiat łosicki,348,37.5,28941,279,20.8,163356,20,"5,362.58",ziemski
Powiat choszczeński,324,33.8,44818,124,20.3,168183,109,"5,575.63",ziemski
Powiat milicki,321,50.1,35826,130,19.7,261442,18,"5,313.76",ziemski
Powiat wschowski,309,60,37441,106,18.7,190335,69,"5,453.09",ziemski
Powiat zwoleński,302,60.3,34535,191,18.9,192275,4,"5,638.92",ziemski
Powiat sulęciński,297,28.7,33771,113,18.1,193699,49,"5,335.40",ziemski
Powiat sępoleński,295,49.6,39218,235,18.2,178988,16,"5,229.53",ziemski
Powiat lipski,290,43,31839,471,22.3,258018,9,"5,595.82",ziemski
Powiat łobeski,284,31.7,33762,220,20.6,126152,90,"5,630.58",ziemski
Powiat kazimierski,280,75.7,31966,566,22.4,175394,8,"5,097.28",ziemski
Powiat olecki,276,36.9,32222,205,18.3,190493,32,"5,397.85",ziemski
Powiat górowski,272,44.3,32738,229,19.8,132894,41,"5,423.11",ziemski
Powiat sejneński,251,22,18802,102,20.6,187783,6,"6,308.40",ziemski
Powiat suwalski,243,26.6,34778,323,17.3,147800,3,"5,323.60",ziemski
Powiat węgorzewski,209,30.4,21062,128,21.2,244061,9,"5,338.94",ziemski
Powiat brzeziński,205,84.4,30246,160,20.1,163658,7,"5,262.32",ziemski
Powiat gołdapski,182,32.6,25147,201,17.7,190020,9,"5,136.51",ziemski
